id,text
58,"Just at the door the captain aimed at the fugitive one last tremendous cut, which would certainly have split him to the chin had it not been intercepted by our big signboard of Admiral Benbow. You may see the notch on the lower side of the frame to this day."
59,"That blow was the last of the battle. Once out upon the road, Black Dog, in spite of his wound, showed a wonderful clean pair of heels, and disappeared over the edge of the hill in half a minute. The captain, for his part, stood staring at the signboard like a bewildered man."
60,"Then he passed his hand over his eyes several times, and at last turned back into the house. ""Jim,"" says he, ""rum""; and as he spoke he reeled a little, and caught himself with one hand against the wall. ""Are you hurt?"" cried I. ""Rum,"" he repeated."
61,"""I must get away from here. Rum! rum!"" I ran to fetch it, but I was quite unsteadied by all that had fallen out, and I broke one glass and fouled the tap, and while I was still getting in my own way, I heard a loud fall in the parlor, and, running in, beheld the captain lying full length upon the floor."
62,"At the same instant my mother, alarmed by the cries and fighting, came running downstairs to help me. Between us we raised his head. He was breathing very loud and hard, but his eyes were closed and his face was a horrible color. ""Dear, deary me!"""
63,"I got the rum, to be sure, and tried to put it down his throat, but his teeth were tightly shut, and his jaws as strong as iron. It was a happy relief for us when the door opened and Doctor Livesey came in, on his visit to my father."
64,"""For my part, I must do my best to save this fellow's trebly worthless life; and, Jim, you get me a basin."" When I got back with the basin the doctor had already ripped up the captain's sleeve and exposed his great sinewy arm. It was tattooed in several places."
65,"A great deal of blood was taken before the captain opened his eyes and looked mistily about him. First he recognized the doctor with an unmistakable frown; then his glance fell upon me, and he looked relieved. But suddenly his color changed, and he tried to raise himself, crying: ""Where's Black Dog?"""
66,"""Now, Mr. Bones-"" ""That's not my name,"" he interrupted. ""Much I care,"" returned the doctor."
67,"""It's the name of a buccaneer of my acquaintance, and I call you by it for the sake of shortness, and what I have to say to you is this: One glass of rum won't kill you, but if you take one you'll take another and another, and I stake my wig if you don't break off short, you'll die-do you understand that?-die, and go to your own place, like the man in the Bible."
68,"""Come, now, make an effort. I'll help you to your bed for once."" Between us, with much trouble, we managed to hoist him upstairs, and laid him on his bed, where his head fell back on the pillow, as if he were almost fainting."
69,"""I have drawn blood enough to keep him quiet awhile; he should lie for a week where he is-that is the best thing for him and you, but another stroke would settle him."" About noon I stopped at the captain's door with some cooling drinks and medicines."
70,"He was lying very much as we had left him, only a little higher, and he seemed both weak and excited. ""Jim,"" he said, ""you're the only one here that's worth anything; and you know I've always been good to you. Never a month but I've given you a silver fourpenny for yourself."""
71,"""And now you see, mate, I'm pretty low, and deserted by all; and, Jim, you'll bring me one noggin of rum, now, won't you, matey?"" ""The doctor-"" I began. But he broke in, cursing the doctor in a feeble voice, but heartily."
72,"I seen old Flint in the corner there, behind you; as plain as print, I seen him; and if I get the horrors, I'm a man that has lived rough, and I'll raise Cain. Your doctor hisself said one glass wouldn't hurt me. I'll give you a golden guinea for a noggin, Jim."
73,"He was growing more and more excited, and this alarmed me, for my father, who was very low that day, needed quiet; besides, I was reassured by the doctor's words, now quoted to me, and rather offended by the offer of a bribe."
74,"And now, matey, did that doctor say how long I was to lie here in this old berth?"" ""A week at least,"" said I. ""Thunder!"" he cried. ""A week! I can't do that; they'd have the black spot on me by then."""
75,"I never wasted good money of mine, nor lost it neither; and I'll trick 'em again. I'm not afraid on 'em. I'll shake out another reef, matey, and daddle 'em again."" As he was thus speaking, he had risen from bed with great difficulty, holding to my shoulder with a grip that almost made me cry out, and moving his legs like so much dead weight."
76,"His words, spirited as they were in meaning, contrasted sadly with the weakness of the voice in which they were uttered. He paused when he had got into a sitting position on the edge. ""That doctor's done me,"" he murmured. ""My ears is singing. Lay me back."""
77,"Before I could do much to help him he had fallen back again to his former place, where he lay for a while silent. ""Jim,"" he said, at length, ""you saw that seafaring man to-day?"" ""Black Dog?"" I asked. ""Ah! Black Dog,"" said he. ""He's a bad 'un; but there's worse that put him on."""
79,"Well, then, you get on a horse and go to that eternal doctor swab, and tell him to pipe all hands-magistrates and sich-and he'll lay 'em aboard at the Admiral Benbow - all old Flint's crew, man and boy, all on 'em that's left."
80,"I was first mate, I was, old Flint's first mate, and I'm the only one as knows the place. He gave it me at Savannah, when he lay a-dying, like as if I was to now, you see."
81,"""But you won't peach unless they get the black spot on me, or unless you see that Black Dog again, or a seafaring man with one leg, Jim-him above all."" ""But what is the black spot, captain?"" I asked. ""That's a summons, mate. I'll tell you if they get that."
82,"But you keep your weather-eye open, Jim, and I'll share with you equals, upon my honor."" He wandered a little longer, his voice growing weaker; but soon after I had given him his medicine, which he took like a child, with the remark, ""If ever a seaman wanted drugs, it's me,"" he fell at last into a heavy, swoon-like sleep, in which I left him."
83,What I should have done had all gone well I do not know. Probably I should have told the whole story to the doctor; for I was in mortal fear lest the captain should repent of his confessions and make an end of me.
84,"But as things fell out, my poor father died quite suddenly that evening, which put all other matters on one side. Our natural distress, the visits of the neighbors, the arranging of the funeral, and all the work of the inn to be carried on in the meanwhile, kept me so busy that I had scarcely time to think of the captain, far less to be afraid of him."
85,"He got downstairs next morning, to be sure, and had his meals as usual, though he ate little, and had more, I am afraid, than his usual supply of rum, for he helped himself out of the bar, scowling and blowing through his nose, and no one dared to cross him."
86,"I have said the captain was weak, and indeed he seemed rather to grow weaker than to regain his strength. He clambered up and down stairs, and went from the parlor to the bar and back again, and sometimes put his nose out of doors to smell the sea, holding on to the walls as he went for support, and breathing hard and fast, like a man on a steep mountain."
87,"He never particularly addressed me, and it is my belief he had as good as forgotten his confidences; but his temper was more flighty, and, allowing for his bodily weakness, more violent than ever. He had an alarming way now when he was drunk of drawing his cutlass and laying it bare before him on the table."
88,"But, with all that, he minded people less, and seemed shut up in his own thoughts and rather wandering. Once, for instance, to our extreme wonder, he piped up to a different air, a kind of country love-song, that he must have learned in his youth before he had begun to follow the sea."
89,"So things passed until the day after the funeral and about three o'clock of a bitter, foggy, frosty afternoon, I was standing at the door for a moment, full of sad thoughts about my father, when I saw someone drawing slowly near along the road."
90,"He was plainly blind, for he tapped before him with a stick, and wore a great green shade over his eyes and nose; and he was hunched, as if with age or weakness, and wore a huge old tattered sea-cloak with a hood that made him appear positively deformed."
91,"I never saw in my life a more dreadful-looking figure. He stopped a little from the inn and, raising his voice in an odd sing-song, addressed the air in front of him: ""Will any kind friend inform a poor blind man, who has lost the precious sight of his eyes in the gracious defense of his native country, England, and God bless King George!-where or in what part of this country he may now be?"""
92,"I never heard a voice so cruel, and cold, and ugly as that blind man's. It cowed me more than the pain, and I began to obey him at once, walking straight in at the door and towards the parlor, where the sick old buccaneer was sitting, dazed with rum."
93,"The blind man clung close to me, holding me in one iron fist, and leaning almost more of his weight on me than I could carry. ""Lead me straight up to him, and when I'm in view, cry out, Here's a friend for you, Bill."""
94,"The poor captain raised his eyes, and at one look the rum went out of him and left him staring sober. The expression of his face was not so much of terror as of mortal sickness. He made a movement to rise, but I do not believe he had enough force left in his body."
95,"We both obeyed him to the letter, and I saw him pass something from the hollow of the hand that held his stick into the palm of the captain's, which closed upon it instantly."
96,"""And now that's done,"" said the blind man, and at the words he suddenly left hold of me, and with incredible accuracy and nimbleness, skipped out of the parlor and into the road, where, as I stood motionless, I could hear his stick go tap-tap-tapping into the distance."
97,"It was some time before either I or the captain seemed to gather our senses; but at length, and about the same moment, I released his wrist, which I was still holding, and he drew in his hand, and looked sharply into the palm. ""Ten o'clock!"" he cried. ""Six hours!"
98,"Some of the man's money - if he had any-was certainly due to us, but it was not likely that our captain's shipmates, above all the two specimens seen by me - Black Dog and the blind beggar - would be inclined to give up their booty in payment of the dead man's debts."
99,"The captain's order to mount at once and ride for Doctor Livesey would have left my mother alone and unprotected, which was not to be thought of. Indeed, it seemed impossible for either of us to remain much longer in the house; the fall of coals in the kitchen grate, the very ticking of the clock, filled us with alarm."
100,"The neighborhood, to our ears, seemed haunted by approaching footsteps; and what between the dead body of the captain on the parlor floor and the thought of that detestable blind beggar hovering near at hand and ready to return, there were moments when, as the saying goes, I jumped in my skin for terror."
